name,id_number,source,date_added
Hafiz Muhammad Saeed,UN-1267-LeT-CHIEF,UN Security Council 1267,2008-12-10
Zaki-ur-Rehman Lakhvi,UN-1267-LeT-OPS,UN Security Council 1267,2008-12-10
Masood Azhar,UN-1267-JEM-CHIEF,UN Security Council 1267,2019-05-01
Mufti Abdul Rauf Asghar,UN-1267-JEM-DPTY,UN Security Council 1267,2019-08-22
Hafiz Abdul Salam,UN-1267-FIF-LEAD,UN Security Council 1267,2018-04-26
Abdur Rehman Makki,OFAC-SDN-LeT-FIN,OFAC SDN List,2010-11-04
Sajid Mir,OFAC-SDN-LeT-OPS,OFAC SDN List,2012-04-30
Mohammad Yahya Mujahid,UN-1267-LeT-PR,UN Security Council 1267,2012-06-29
Mehsud Faction Commander,UN-1988-TTP-CMD,UN Security Council 1988,2011-07-29
Suspicious Persons (Generic),REDACTED,SBP/FMU PEP Watchlist,2026-04-28
