entity_name,alias,list_source,country
Lashkar-e-Taiba,LeT,UN Security Council 1267,Pakistan
Jamaat-ud-Dawa,JuD,UN Security Council 1267,Pakistan
Falah-i-Insaniyat Foundation,FIF,UN Security Council 1267,Pakistan
Jaish-e-Mohammed,JeM,UN Security Council 1267,Pakistan
Tehrik-i-Taliban Pakistan,TTP,UN Security Council 1988,Pakistan
Al-Akhtar Trust International,AAT,UN Security Council 1267,Pakistan
Al-Rashid Trust,ART,UN Security Council 1267,Pakistan
Harakat-ul-Mujahideen,HuM,UN Security Council 1267,Pakistan
Lashkar-e-Jhangvi,LeJ,OFAC SDN,Pakistan
Sipah-e-Sahaba Pakistan,SSP,OFAC SDN,Pakistan
Islamic State Khorasan,ISKP,UN Security Council 1267,Pakistan/Afghanistan
Jamaat-ul-Ahrar,JuA,OFAC SDN,Pakistan
